CODE_MUNI_7,YEAR,CASES
1300680,2016,47
1300680,2017,23
1300680,2018,1
1300680,2019,0
1300680,2020,2
1300680,2021,3
1300680,2022,0
1300680,2023,3
1300680,2024,39
1300706,2010,21
1300706,2011,174
1300706,2012,18
1300706,2013,167
1300706,2014,8
1300706,2015,6
1300706,2016,6
1300706,2017,4
1300706,2018,52
1300706,2019,217
1300706,2020,750
1300706,2021,121
1300706,2022,0
1300706,2023,48
1300706,2024,28
1300805,2010,181
1300805,2011,143
1300805,2012,80
1300805,2013,288
1300805,2014,166
1300805,2015,136
1300805,2016,955
1300805,2017,370
1300805,2018,103
1300805,2019,68
1300805,2020,15
1300805,2021,41
1300805,2022,51
1300805,2023,151
1300805,2024,346
1300839,2010,0
1300839,2011,0
1300839,2012,0
1300839,2013,0
1300839,2014,1
1300839,2015,0
1300839,2016,3
1300839,2017,1
1300839,2018,0
1300839,2019,0
1300839,2020,0
1300839,2021,1
1300839,2022,0
1300839,2023,0
1300839,2024,14
1300904,2010,0
1300904,2011,1
1300904,2012,0
1300904,2013,0
1300904,2014,0
1300904,2015,0
1300904,2016,0
1300904,2017,4
1300904,2018,0
1300904,2019,0
1300904,2020,0
1300904,2021,0
1300904,2022,0
1300904,2023,0
1300904,2024,161
1301001,2010,0
1301001,2011,1
1301001,2012,0
1301001,2013,0
1301001,2014,0
1301001,2015,0
1301001,2016,9
1301001,2017,68
1301001,2018,23
1301001,2019,759
1301001,2020,312
1301001,2021,46
1301001,2022,100
1301001,2023,65
1301001,2024,847
1301100,2010,155
1301100,2011,233
1301100,2012,29
1301100,2013,196
1301100,2014,11
1301100,2015,15
1301100,2016,41
1301100,2017,9
1301100,2018,1
1301100,2019,0
1301100,2020,6
1301100,2021,0
1301100,2022,5
1301100,2023,3
1301100,2024,683
1301159,2010,0
1301159,2011,0
1301159,2012,0
1301159,2013,2
1301159,2014,0
1301159,2015,0
1301159,2016,0
1301159,2017,0
1301159,2018,0
1301159,2019,0
1301159,2020,0
1301159,2021,0
1301159,2022,0
1301159,2023,1
1301159,2024,12
1301209,2010,1201
1301209,2011,813
1301209,2012,73
1301209,2013,1478
1301209,2014,738
1301209,2015,16
1301209,2016,273
1301209,2017,343
1301209,2018,25
1301209,2019,11
1301209,2020,10
1301209,2021,13
1301209,2022,145
1301209,2023,338
1301209,2024,849
1301308,2010,195
1301308,2011,199
1301308,2012,24
1301308,2013,152
1301308,2014,11
1301308,2015,0
1301308,2016,0
1301308,2017,59
1301308,2018,1
1301308,2019,7
1301308,2020,7
1301308,2021,21
1301308,2022,3
1301308,2023,21
1301308,2024,675
1301407,2010,2
1301407,2011,3
1301407,2012,0
1301407,2013,1
1301407,2014,0
1301407,2015,0
1301407,2016,1
1301407,2017,0
1301407,2018,12
1301407,2019,31
1301407,2020,597
1301407,2021,267
1301407,2022,10
1301407,2023,113
1301407,2024,993
1301506,2010,0
1301506,2011,1
1301506,2012,0
1301506,2013,1
1301506,2014,0
1301506,2015,0
1301506,2016,3
1301506,2017,0
1301506,2018,2
1301506,2019,4
1301506,2020,70
1301506,2021,688
1301506,2022,471
1301506,2023,114
1301506,2024,900
1301605,2010,0
1301605,2011,8
1301605,2012,0
1301605,2013,0
1301605,2014,3
1301605,2015,3
1301605,2016,2
1301605,2017,0
1301605,2018,0
1301605,2019,0
1301605,2020,1
1301605,2021,9
1301605,2022,1
1301605,2023,0
1301605,2024,7
1301654,2010,0
1301654,2011,4
1301654,2012,0
1301654,2013,0
1301654,2014,468
1301654,2015,50
1301654,2016,123
1301654,2017,236
1301654,2018,310
1301654,2019,1449
1301654,2020,1084
1301654,2021,498
1301654,2022,570
1301654,2023,452
1301654,2024,1027
1301704,2010,822
1301704,2011,739
1301704,2012,386
1301704,2013,1335
1301704,2014,319
1301704,2015,95
1301704,2016,633
1301704,2017,488
1301704,2018,209
1301704,2019,350
1301704,2020,575
1301704,2021,444
1301704,2022,1106
1301704,2023,1220
1301704,2024,446
1301803,2010,0
1301803,2011,1
1301803,2012,0
1301803,2013,0
1301803,2014,0
1301803,2015,0
1301803,2016,0
1301803,2017,0
1301803,2018,0
1301803,2019,22
1301803,2020,45
1301803,2021,119
1301803,2022,813
1301803,2023,1453
1301803,2024,160
1301852,2010,1
1301852,2011,26
1301852,2012,0
1301852,2013,8
1301852,2014,1
1301852,2015,5
1301852,2016,72
1301852,2017,30
1301852,2018,0
1301852,2019,2
1301852,2020,14
1301852,2021,617
1301852,2022,90
1301852,2023,540
1301852,2024,750
1301902,2010,47
1301902,2011,1121
1301902,2012,81
1301902,2013,292
1301902,2014,771
